50 158 0
0
1 189 1 1
2 -65 1 2
3 -2 1 3
4 222 1 4
5 179 1 5
6 212 1 6
7 152 1 7
8 110 1 8
9 68 1 9
10 -5 1 10
11 199 1 11
12 -49 1 12
13 -54 1 13
14 170 1 14
15 66 1 15
16 156 1 16
17 226 1 17
18 79 1 18
19 78 1 19
20 114 1 20
21 -123 1 21
22 -102 1 22
23 169 1 23
24 84 1 24
25 132 1 25
26 88 1 26
27 -181 1 27
28 72 1 28
29 -42 1 29
30 -48 1 30
31 85 1 31
32 132 1 32
33 46 1 33
34 -118 1 34
35 -86 1 35
36 51 1 36
37 88 1 37
38 140 1 38
39 267 1 39
40 40 1 40
41 211 1 41
42 217 1 42
43 134 1 43
44 1 1 44
45 42 1 45
46 -94 1 46
47 -122 1 47
48 141 1 48
49 59 1 49
50 -20 1 50
51 78 2 1 4
52 -144 2 1 43
53 -198 2 1 44
54 -114 2 1 49
55 156 2 2 7
56 -56 2 2 14
57 30 2 2 32
58 -168 2 3 11
59 172 2 3 44
60 -154 2 4 11
61 86 2 4 22
62 -24 2 4 27
63 -172 2 4 38
64 -162 2 4 39
65 -96 2 4 49
66 -102 2 5 9
67 -150 2 5 16
68 -106 2 5 20
69 4 2 6 7
70 -136 2 6 14
71 -6 2 6 15
72 -132 2 6 16
73 178 2 6 21
74 -180 2 6 24
75 -152 2 6 31
76 -194 2 7 17
77 -130 2 7 18
78 -100 2 7 32
79 4 2 7 48
80 -44 2 7 50
81 -182 2 8 42
82 -38 2 8 49
83 -44 2 9 29
84 -14 2 9 31
85 44 2 9 45
86 -20 2 9 48
87 -154 2 10 20
88 84 2 10 30
89 80 2 10 41
90 70 2 11 18
91 -172 2 11 41
92 -124 2 11 42
93 150 2 11 47
94 188 2 12 20
95 -190 2 12 25
96 50 2 12 46
97 50 2 12 47
98 -28 2 13 30
99 90 2 13 40
100 96 2 13 43
101 -50 2 13 47
102 -48 2 14 19
103 -62 2 14 23
104 -156 2 14 30
105 118 2 14 36
106 -144 2 15 19
107 90 2 15 21
108 -76 2 15 26
109 110 2 15 27
110 -106 2 15 36
111 80 2 16 35
112 -110 2 16 37
113 -156 2 17 20
114 -130 2 17 23
115 -32 2 17 24
116 60 2 17 25
117 -98 2 18 33
118 -120 2 19 22
119 156 2 19 48
120 -56 2 21 31
121 34 2 21 38
122 -86 2 22 25
123 140 2 22 29
124 196 2 22 35
125 162 2 22 46
126 -174 2 22 50
127 140 2 23 27
128 -20 2 23 34
129 -86 2 23 43
130 -180 2 23 48
131 -18 2 24 33
132 62 2 24 36
133 -48 2 25 48
134 -100 2 26 39
135 6 2 27 47
136 130 2 27 49
137 -168 2 28 39
138 24 2 28 44
139 124 2 29 34
140 -182 2 29 39
141 46 2 29 50
142 196 2 30 50
143 24 2 31 33
144 28 2 31 35
145 -96 2 32 35
146 -98 2 32 48
147 132 2 34 39
148 -36 2 35 40
149 -176 2 36 41
150 -154 2 37 41
151 88 2 37 50
152 -142 2 38 48
153 18 2 39 47
154 -72 2 39 50
155 -134 2 40 43
156 -128 2 42 45
157 -24 2 46 48
158 70 2 47 48
