50 158 0
0
1 145 1 1
2 -64 1 2
3 -100 1 3
4 41 1 4
5 -104 1 5
6 -87 1 6
7 44 1 7
8 -197 1 8
9 -57 1 9
10 151 1 10
11 -45 1 11
12 -88 1 12
13 110 1 13
14 -96 1 14
15 296 1 15
16 122 1 16
17 -8 1 17
18 21 1 18
19 -12 1 19
20 -32 1 20
21 -449 1 21
22 131 1 22
23 10 1 23
24 -59 1 24
25 -51 1 25
26 -89 1 26
27 -229 1 27
28 -159 1 28
29 6 1 29
30 -32 1 30
31 62 1 31
32 78 1 32
33 96 1 33
34 -49 1 34
35 -8 1 35
36 65 1 36
37 -74 1 37
38 88 1 38
39 -85 1 39
40 12 1 40
41 28 1 41
42 -139 1 42
43 218 1 43
44 -54 1 44
45 76 1 45
46 156 1 46
47 -28 1 47
48 -161 1 48
49 23 1 49
50 -225 1 50
51 -12 2 1 6
52 -100 2 1 30
53 -178 2 1 43
54 128 2 2 5
55 180 2 3 9
56 60 2 3 24
57 -40 2 3 47
58 160 2 4 11
59 -156 2 4 17
60 -86 2 4 19
61 -70 2 5 17
62 150 2 5 50
63 198 2 6 11
64 -12 2 6 14
65 4 2 7 11
66 -18 2 7 30
67 -74 2 7 45
68 188 2 8 30
69 188 2 8 34
70 -104 2 8 35
71 122 2 8 44
72 -24 2 9 10
73 -166 2 9 18
74 124 2 9 35
75 -182 2 10 13
76 54 2 10 35
77 -46 2 10 36
78 -104 2 10 38
79 -186 2 11 15
80 -86 2 11 34
81 -118 2 12 15
82 -18 2 12 17
83 92 2 12 19
84 80 2 12 25
85 154 2 12 30
86 -60 2 12 32
87 144 2 12 33
88 84 2 12 38
89 -182 2 12 39
90 90 2 13 17
91 -60 2 13 39
92 -152 2 13 45
93 84 2 13 47
94 86 2 14 16
95 118 2 14 37
96 -18 2 15 16
97 -58 2 15 18
98 -170 2 15 20
99 72 2 15 28
100 -138 2 15 33
101 24 2 15 48
102 -140 2 16 19
103 -66 2 16 40
104 -148 2 16 46
105 42 2 16 50
106 130 2 17 27
107 132 2 17 39
108 88 2 17 41
109 -180 2 17 43
110 182 2 18 21
111 130 2 19 21
112 -36 2 19 33
113 90 2 19 37
114 -70 2 19 43
115 44 2 19 49
116 158 2 20 21
117 -166 2 20 22
118 58 2 20 24
119 -10 2 20 26
120 194 2 20 28
121 78 2 21 26
122 160 2 21 42
123 190 2 21 43
124 -48 2 22 27
125 -48 2 22 44
126 144 2 23 26
127 -164 2 23 41
128 -52 2 24 25
129 74 2 24 45
130 -22 2 24 48
131 74 2 25 31
132 -92 2 26 49
133 58 2 26 50
134 64 2 27 34
135 102 2 27 37
136 20 2 27 41
137 190 2 27 48
138 52 2 28 50
139 -12 2 29 33
140 -160 2 30 33
141 -198 2 31 47
142 -96 2 32 33
143 106 2 33 34
144 -174 2 34 37
145 -118 2 35 44
146 -70 2 35 46
147 130 2 35 47
148 -84 2 36 46
149 -156 2 37 38
150 38 2 37 47
151 130 2 37 48
152 128 2 39 42
153 152 2 39 44
154 42 2 40 47
155 -10 2 42 46
156 -172 2 43 49
157 -26 2 43 50
158 174 2 49 50
