50 169 0
0
1 -73 1 1
2 149 1 2
3 208 1 3
4 -207 1 4
5 -81 1 5
6 -29 1 6
7 31 1 7
8 -42 1 8
9 -75 1 9
10 -4 1 10
11 -24 1 11
12 -40 1 12
13 -117 1 13
14 -93 1 14
15 210 1 15
16 11 1 16
17 23 1 17
18 74 1 18
19 166 1 19
20 -109 1 20
21 -109 1 21
22 -157 1 23
23 71 1 24
24 -135 1 25
25 124 1 26
26 31 1 27
27 -58 1 28
28 21 1 29
29 44 1 30
30 -99 1 31
31 -68 1 32
32 13 1 33
33 45 1 34
34 -67 1 35
35 72 1 36
36 39 1 37
37 -218 1 38
38 188 1 39
39 -81 1 40
40 -138 1 41
41 -171 1 42
42 -140 1 43
43 63 1 44
44 155 1 45
45 138 1 46
46 56 1 47
47 -111 1 48
48 -167 1 49
49 -69 1 50
50 166 2 1 6
51 -112 2 1 19
52 92 2 1 39
53 -164 2 2 6
54 -188 2 2 14
55 -64 2 2 25
56 30 2 2 32
57 60 2 2 42
58 28 2 2 50
59 -74 2 3 9
60 -144 2 3 12
61 -126 2 3 15
62 36 2 3 25
63 -164 2 3 46
64 56 2 3 49
65 170 2 4 5
66 194 2 4 6
67 20 2 4 9
68 -110 2 4 25
69 -16 2 4 29
70 -20 2 4 31
71 116 2 4 38
72 96 2 4 41
73 98 2 4 43
74 -134 2 4 47
75 -90 2 5 7
76 -150 2 5 19
77 72 2 5 25
78 -122 2 5 30
79 6 2 5 37
80 196 2 5 42
81 80 2 5 45
82 -66 2 6 19
83 -72 2 6 28
84 32 2 7 17
85 -4 2 7 36
86 84 2 8 19
87 -126 2 9 11
88 172 2 9 14
89 20 2 9 19
90 172 2 9 20
91 -46 2 9 24
92 138 2 9 36
93 -134 2 9 44
94 -172 2 9 45
95 180 2 9 50
96 8 2 10 11
97 180 2 11 28
98 -14 2 11 36
99 24 2 12 15
100 180 2 12 23
101 20 2 12 31
102 154 2 13 18
103 -24 2 13 24
104 94 2 13 25
105 178 2 13 42
106 -168 2 13 44
107 68 2 14 19
108 134 2 14 25
109 172 2 15 21
110 -24 2 15 28
111 -156 2 15 33
112 18 2 15 43
113 -146 2 15 45
114 -182 2 15 46
115 32 2 16 28
116 54 2 16 42
117 -108 2 16 48
118 -78 2 17 45
119 -62 2 18 26
120 32 2 18 30
121 -136 2 18 39
122 -78 2 18 47
123 -58 2 18 49
124 4 2 19 21
125 -162 2 19 33
126 -18 2 19 36
127 -26 2 20 29
128 -58 2 20 36
129 166 2 20 40
130 -36 2 20 48
131 168 2 21 39
132 -118 2 21 41
133 178 2 21 48
134 -186 2 21 50
135 134 2 23 49
136 -162 2 24 36
137 90 2 24 39
138 108 2 25 36
139 148 2 26 30
140 -192 2 26 39
141 -142 2 26 46
142 8 2 27 37
143 -152 2 27 45
144 82 2 27 46
145 -146 2 30 42
146 198 2 31 43
147 -80 2 32 34
148 186 2 32 43
149 158 2 33 40
150 134 2 33 50
151 164 2 34 38
152 -174 2 34 39
153 100 2 35 37
154 34 2 35 39
155 -144 2 36 37
156 156 2 36 38
157 -52 2 36 41
158 -124 2 36 43
159 30 2 36 48
160 130 2 37 46
161 -178 2 37 50
162 -162 2 39 40
163 -96 2 39 43
164 34 2 41 44
165 158 2 41 45
166 158 2 41 48
167 142 2 44 49
168 100 2 47 50
169 60 2 49 50
