50 182 0
0
1 -56 1 1
2 -7 1 2
3 8 1 3
4 -149 1 4
5 -161 1 5
6 -92 1 6
7 -90 1 7
8 4 1 8
9 -133 1 9
10 -36 1 10
11 -100 1 11
12 -40 1 12
13 -170 1 13
14 -119 1 14
15 -4 1 15
16 33 1 16
17 49 1 17
18 -253 1 18
19 39 1 19
20 162 1 20
21 -129 1 21
22 -130 1 22
23 53 1 23
24 -46 1 24
25 81 1 25
26 2 1 26
27 107 1 27
28 17 1 28
29 -57 1 29
30 35 1 30
31 -112 1 31
32 -4 1 32
33 -77 1 33
34 -127 1 34
35 -86 1 35
36 55 1 36
37 -166 1 37
38 -259 1 38
39 58 1 39
40 269 1 40
41 -7 1 41
42 3 1 42
43 54 1 43
44 63 1 44
45 92 1 45
46 -266 1 46
47 -268 1 47
48 -18 1 48
49 197 1 49
50 47 1 50
51 -120 2 1 3
52 -118 2 1 6
53 -104 2 1 8
54 116 2 1 18
55 -124 2 1 25
56 168 2 1 33
57 184 2 1 34
58 188 2 1 47
59 -78 2 1 49
60 -140 2 2 19
61 200 2 2 24
62 -74 2 2 34
63 -110 2 2 41
64 138 2 2 47
65 164 2 3 11
66 -36 2 3 16
67 124 2 3 21
68 -170 2 3 26
69 52 2 3 31
70 -30 2 3 36
71 148 2 4 38
72 150 2 4 47
73 56 2 5 8
74 160 2 5 10
75 54 2 5 11
76 -44 2 5 22
77 150 2 5 33
78 -34 2 5 36
79 -142 2 5 40
80 122 2 5 48
81 146 2 6 12
82 184 2 6 13
83 150 2 6 14
84 60 2 6 28
85 -48 2 6 42
86 -190 2 6 45
87 10 2 7 26
88 -10 2 7 29
89 180 2 7 46
90 -8 2 8 15
91 -24 2 8 19
92 196 2 8 23
93 -126 2 8 46
94 2 2 8 49
95 -122 2 9 15
96 164 2 9 18
97 64 2 9 41
98 200 2 9 43
99 -40 2 9 49
100 126 2 10 24
101 -20 2 10 37
102 -194 2 10 48
103 86 2 11 13
104 -90 2 11 42
105 -84 2 11 45
106 70 2 11 48
107 -60 2 12 17
108 -6 2 12 39
109 16 2 13 44
110 26 2 13 46
111 28 2 13 49
112 -30 2 14 25
113 -38 2 14 27
114 58 2 14 34
115 -46 2 14 43
116 144 2 14 45
117 4 2 15 18
118 110 2 15 40
119 24 2 15 46
120 96 2 16 18
121 42 2 16 26
122 -168 2 16 49
123 -34 2 17 28
124 54 2 17 34
125 -114 2 17 36
126 14 2 17 38
127 42 2 17 50
128 168 2 18 35
129 112 2 18 37
130 -154 2 18 48
131 56 2 19 23
132 -132 2 19 40
133 162 2 19 42
134 -86 2 20 23
135 180 2 20 24
136 -116 2 20 28
137 -140 2 20 32
138 -162 2 20 33
139 124 2 21 39
140 10 2 21 40
141 170 2 22 36
142 200 2 22 38
143 -66 2 22 39
144 -126 2 23 30
145 -146 2 23 47
146 -98 2 24 36
147 -132 2 24 40
148 -184 2 24 47
149 -8 2 25 30
150 114 2 26 45
151 -130 2 27 40
152 -46 2 27 45
153 -194 2 28 40
154 176 2 28 46
155 74 2 28 49
156 -34 2 29 30
157 168 2 29 31
158 -10 2 29 49
159 32 2 30 38
160 -42 2 30 42
161 108 2 30 46
162 158 2 31 37
163 -34 2 31 48
164 -120 2 31 49
165 4 2 32 35
166 -50 2 32 36
167 194 2 32 47
168 -14 2 33 36
169 12 2 33 42
170 -190 2 34 45
171 196 2 34 47
172 26 2 34 50
173 60 2 36 41
174 82 2 37 48
175 128 2 38 43
176 -4 2 38 45
177 -168 2 39 43
178 72 2 40 45
179 -142 2 43 44
180 -80 2 43 50
181 144 2 46 48
182 -82 2 49 50
