50 160 0
0
1 74 1 1
2 95 1 2
3 -24 1 3
4 -97 1 4
5 232 1 6
6 24 1 7
7 45 1 8
8 -155 1 9
9 61 1 10
10 -50 1 11
11 -174 1 12
12 -69 1 13
13 -173 1 14
14 -18 1 15
15 114 1 16
16 -82 1 17
17 -142 1 18
18 -61 1 19
19 84 1 20
20 83 1 21
21 340 1 22
22 22 1 23
23 -10 1 24
24 187 1 25
25 -67 1 26
26 -111 1 27
27 -203 1 28
28 80 1 29
29 -58 1 30
30 -77 1 31
31 -179 1 32
32 -98 1 33
33 137 1 34
34 -112 1 35
35 8 1 36
36 -19 1 37
37 -77 1 38
38 31 1 39
39 -132 1 40
40 122 1 41
41 -89 1 42
42 92 1 43
43 16 1 44
44 224 1 45
45 32 1 46
46 -67 1 47
47 -236 1 48
48 40 1 49
49 103 1 50
50 -146 2 1 7
51 140 2 1 9
52 -196 2 1 25
53 54 2 1 46
54 44 2 2 6
55 -184 2 2 19
56 -146 2 2 22
57 194 2 2 27
58 -192 2 2 34
59 -34 2 2 46
60 128 2 2 50
61 116 2 3 4
62 20 2 3 7
63 -148 2 3 11
64 -22 2 3 12
65 -102 2 3 38
66 184 2 3 40
67 6 2 4 16
68 18 2 4 19
69 6 2 4 24
70 48 2 4 26
71 -176 2 6 20
72 -182 2 6 38
73 -150 2 6 50
74 32 2 7 8
75 -26 2 7 12
76 -64 2 7 18
77 132 2 7 32
78 94 2 7 37
79 -120 2 7 45
80 30 2 7 49
81 70 2 8 10
82 -196 2 8 22
83 86 2 8 28
84 46 2 8 29
85 -186 2 8 41
86 58 2 8 44
87 68 2 9 12
88 -172 2 9 16
89 36 2 9 25
90 -64 2 9 29
91 138 2 9 33
92 164 2 9 42
93 -192 2 10 27
94 182 2 11 31
95 66 2 11 33
96 86 2 12 19
97 4 2 12 38
98 94 2 12 47
99 144 2 12 48
100 170 2 13 19
101 -172 2 13 45
102 140 2 13 50
103 136 2 14 28
104 144 2 14 38
105 66 2 14 42
106 34 2 15 24
107 12 2 15 39
108 -10 2 15 45
109 198 2 16 26
110 -80 2 16 29
111 -78 2 16 31
112 -102 2 16 33
113 48 2 17 25
114 116 2 17 34
115 172 2 18 33
116 176 2 18 48
117 -44 2 19 23
118 60 2 19 32
119 16 2 19 39
120 8 2 20 46
121 -166 2 21 50
122 -98 2 22 25
123 -108 2 22 26
124 -132 2 22 27
125 116 2 24 29
126 -158 2 24 42
127 -94 2 24 43
128 138 2 24 48
129 -22 2 24 50
130 -164 2 25 43
131 118 2 26 32
132 -122 2 26 49
133 118 2 27 35
134 -24 2 27 36
135 124 2 27 38
136 110 2 27 40
137 54 2 27 43
138 -30 2 27 49
139 184 2 28 32
140 -190 2 29 34
141 -48 2 29 40
142 20 2 29 43
143 40 2 29 47
144 116 2 30 40
145 -148 2 31 33
146 128 2 31 34
147 8 2 31 36
148 176 2 31 38
149 36 2 31 41
150 -58 2 31 45
151 -92 2 31 46
152 -136 2 32 34
153 70 2 33 48
154 106 2 35 42
155 -56 2 37 48
156 -10 2 38 40
157 -90 2 39 44
158 -88 2 40 45
159 42 2 41 49
160 -136 2 41 50
