50 181 0
0
1 90 1 1
2 105 1 2
3 15 1 3
4 -28 1 4
5 134 1 5
6 -270 1 6
7 -244 1 7
8 19 1 8
9 40 1 9
10 139 1 10
11 -170 1 11
12 103 1 12
13 194 1 13
14 63 1 14
15 132 1 15
16 -104 1 16
17 -37 1 17
18 38 1 18
19 41 1 19
20 -39 1 20
21 47 1 21
22 -184 1 22
23 -128 1 23
24 129 1 24
25 -63 1 25
26 -211 1 26
27 169 1 27
28 101 1 28
29 77 1 29
30 236 1 30
31 -75 1 31
32 -38 1 32
33 -22 1 33
34 66 1 34
35 45 1 35
36 -75 1 36
37 -44 1 37
38 -203 1 38
39 -203 1 39
40 86 1 40
41 241 1 41
42 -370 1 42
43 -167 1 43
44 57 1 44
45 -162 1 45
46 308 1 46
47 51 1 47
48 -41 1 48
49 100 1 49
50 -142 1 50
51 -32 2 1 10
52 -36 2 1 21
53 -112 2 1 50
54 -188 2 2 10
55 -86 2 2 25
56 -28 2 2 35
57 92 2 2 38
58 130 2 3 6
59 -162 2 3 16
60 -6 2 3 19
61 8 2 3 37
62 -22 2 4 6
63 -180 2 4 21
64 38 2 4 23
65 26 2 4 26
66 184 2 4 36
67 10 2 4 43
68 -52 2 5 28
69 -174 2 5 30
70 -42 2 5 42
71 194 2 6 8
72 -44 2 6 18
73 8 2 6 38
74 114 2 6 42
75 160 2 6 43
76 170 2 7 12
77 72 2 7 30
78 154 2 7 38
79 -8 2 7 39
80 60 2 7 43
81 -96 2 7 48
82 136 2 7 50
83 42 2 8 10
84 -136 2 8 24
85 -100 2 8 28
86 78 2 8 29
87 -124 2 8 35
88 -34 2 8 40
89 -10 2 8 42
90 52 2 8 48
91 118 2 9 16
92 -110 2 9 22
93 124 2 9 23
94 106 2 9 26
95 -18 2 9 30
96 -68 2 9 39
97 -138 2 9 40
98 -94 2 9 44
99 -92 2 10 14
100 -80 2 10 25
101 66 2 10 42
102 114 2 10 43
103 -108 2 10 47
104 30 2 11 14
105 34 2 11 26
106 190 2 11 35
107 156 2 11 38
108 112 2 11 42
109 -182 2 11 46
110 -164 2 12 14
111 -120 2 12 36
112 74 2 12 39
113 6 2 12 40
114 -98 2 12 41
115 -74 2 12 49
116 -66 2 13 17
117 -140 2 13 29
118 10 2 13 33
119 -90 2 13 38
120 -124 2 13 43
121 22 2 13 45
122 100 2 14 21
123 -174 2 15 24
124 -88 2 15 30
125 -2 2 15 49
126 140 2 16 17
127 112 2 16 45
128 104 2 18 24
129 -82 2 18 30
130 -152 2 18 34
131 98 2 18 39
132 -76 2 19 40
133 -84 2 20 25
134 162 2 20 36
135 -50 2 21 31
136 72 2 21 40
137 94 2 22 23
138 6 2 22 31
139 170 2 22 39
140 180 2 22 42
141 -162 2 22 44
142 190 2 22 45
143 -52 2 24 39
144 72 2 25 33
145 176 2 25 34
146 2 2 25 42
147 126 2 25 48
148 26 2 26 28
149 -20 2 26 33
150 178 2 26 40
151 72 2 26 41
152 -182 2 27 30
153 -2 2 27 41
154 -154 2 27 46
155 -76 2 28 34
156 -92 2 29 43
157 194 2 31 50
158 -34 2 32 35
159 60 2 32 37
160 50 2 32 41
161 154 2 33 36
162 -100 2 33 38
163 -72 2 33 46
164 -66 2 34 36
165 110 2 34 42
166 -124 2 34 49
167 -70 2 35 41
168 -24 2 35 43
169 -180 2 36 40
170 16 2 36 42
171 -18 2 37 41
172 38 2 37 47
173 186 2 38 43
174 192 2 39 42
175 -148 2 40 41
176 148 2 40 43
177 -104 2 41 43
178 -164 2 41 46
179 142 2 44 50
180 -44 2 46 50
181 -32 2 47 50
