50 148 0
0
1 -1 1 2
2 106 1 3
3 -53 1 4
4 -96 1 5
5 19 1 6
6 -257 1 7
7 -20 1 8
8 -67 1 9
9 -220 1 10
10 16 1 11
11 -14 1 12
12 -29 1 13
13 43 1 14
14 65 1 15
15 -26 1 16
16 68 1 17
17 -32 1 18
18 74 1 19
19 -203 1 20
20 -78 1 21
21 -128 1 22
22 -13 1 23
23 18 1 24
24 -127 1 25
25 -99 1 26
26 34 1 27
27 -125 1 28
28 -84 1 29
29 -91 1 30
30 102 1 31
31 -206 1 32
32 -141 1 33
33 -17 1 34
34 -103 1 35
35 -74 1 36
36 193 1 37
37 -202 1 38
38 -115 1 39
39 -25 1 40
40 19 1 41
41 55 1 42
42 -130 1 43
43 81 1 44
44 -81 1 45
45 67 1 47
46 -85 1 48
47 -28 1 49
48 -62 2 2 4
49 116 2 2 9
50 -26 2 2 15
51 130 2 2 20
52 -122 2 2 36
53 -34 2 2 43
54 -10 2 3 6
55 -196 2 3 14
56 118 2 3 20
57 -58 2 3 37
58 -66 2 3 45
59 162 2 4 40
60 6 2 4 49
61 200 2 5 7
62 -8 2 5 30
63 -28 2 6 17
64 168 2 7 13
65 146 2 7 17
66 52 2 8 30
67 24 2 8 48
68 -36 2 8 49
69 18 2 9 32
70 98 2 10 14
71 192 2 10 39
72 16 2 10 44
73 134 2 10 49
74 -8 2 11 14
75 -46 2 11 23
76 30 2 11 44
77 -8 2 11 45
78 -64 2 12 14
79 92 2 12 17
80 176 2 13 22
81 -158 2 13 31
82 -128 2 13 33
83 84 2 14 34
84 -20 2 15 17
85 28 2 15 24
86 -14 2 15 31
87 -98 2 15 36
88 52 2 16 38
89 -148 2 17 19
90 -66 2 17 30
91 110 2 17 33
92 -72 2 17 34
93 -162 2 17 37
94 12 2 17 42
95 -74 2 18 22
96 88 2 18 32
97 50 2 18 39
98 146 2 20 26
99 -196 2 20 31
100 196 2 20 34
101 -86 2 20 42
102 98 2 20 48
103 116 2 21 44
104 40 2 21 45
105 110 2 22 24
106 44 2 22 30
107 -34 2 23 25
108 106 2 23 31
109 94 2 24 31
110 -178 2 24 32
111 92 2 24 38
112 -182 2 24 49
113 152 2 25 28
114 76 2 25 32
115 -128 2 25 34
116 188 2 25 39
117 166 2 26 33
118 -114 2 26 34
119 -68 2 27 39
120 152 2 28 29
121 82 2 28 30
122 58 2 28 35
123 -194 2 28 44
124 -182 2 29 37
125 198 2 29 43
126 174 2 30 36
127 -32 2 30 39
128 -64 2 30 49
129 182 2 31 32
130 -170 2 31 40
131 -38 2 31 41
132 -10 2 31 48
133 132 2 32 35
134 196 2 32 45
135 -102 2 32 47
136 -4 2 33 36
137 96 2 33 43
138 42 2 33 44
139 -82 2 34 35
140 -100 2 34 39
141 136 2 34 42
142 114 2 34 47
143 98 2 35 38
144 198 2 36 49
145 162 2 37 38
146 -146 2 37 47
147 58 2 40 48
148 -172 2 42 44
