50 174 0
0
1 -124 1 1
2 -26 1 2
3 -161 1 3
4 -111 1 4
5 14 1 5
6 -76 1 6
7 -62 1 7
8 11 1 8
9 143 1 9
10 140 1 10
11 44 1 11
12 31 1 12
13 44 1 13
14 190 1 14
15 -138 1 15
16 -138 1 16
17 67 1 17
18 268 1 18
19 -70 1 19
20 -298 1 20
21 -11 1 21
22 -159 1 22
23 -24 1 23
24 58 1 24
25 -183 1 25
26 -52 1 26
27 -31 1 27
28 11 1 28
29 -71 1 29
30 -201 1 30
31 -70 1 31
32 -58 1 32
33 78 1 33
34 69 1 34
35 -107 1 35
36 -124 1 36
37 -30 1 37
38 -281 1 38
39 -2 1 39
40 42 1 40
41 -131 1 41
42 94 1 42
43 165 1 43
44 -250 1 44
45 -154 1 45
46 127 1 46
47 -43 1 47
48 -180 1 48
49 -25 1 49
50 -89 1 50
51 126 2 1 7
52 76 2 1 21
53 114 2 1 30
54 -68 2 1 45
55 140 2 2 12
56 86 2 2 30
57 -140 2 2 43
58 -174 2 2 47
59 140 2 2 50
60 10 2 3 18
61 194 2 3 22
62 118 2 3 35
63 -122 2 4 16
64 66 2 4 18
65 26 2 4 19
66 146 2 4 32
67 106 2 4 38
68 -112 2 5 10
69 90 2 5 14
70 142 2 5 15
71 -18 2 5 21
72 -138 2 5 24
73 -78 2 5 27
74 86 2 5 35
75 84 2 6 19
76 42 2 6 30
77 26 2 6 35
78 -188 2 7 18
79 -110 2 7 23
80 182 2 7 24
81 12 2 7 25
82 -8 2 7 29
83 110 2 7 49
84 -128 2 8 18
85 140 2 8 22
86 86 2 8 41
87 -120 2 8 43
88 -194 2 9 13
89 -80 2 9 28
90 -108 2 9 34
91 96 2 9 37
92 -110 2 10 17
93 -104 2 10 18
94 -124 2 10 19
95 172 2 10 20
96 -112 2 10 23
97 52 2 10 26
98 -144 2 10 32
99 -22 2 10 33
100 138 2 10 38
101 -68 2 10 42
102 154 2 10 44
103 -14 2 11 14
104 72 2 11 21
105 144 2 11 22
106 -190 2 11 33
107 -150 2 11 35
108 50 2 11 45
109 -68 2 12 24
110 -40 2 12 37
111 -16 2 12 44
112 -84 2 12 45
113 6 2 12 50
114 162 2 13 20
115 -66 2 13 37
116 10 2 13 39
117 32 2 14 15
118 -198 2 14 22
119 -4 2 14 23
120 -170 2 14 37
121 -116 2 14 48
122 102 2 15 29
123 68 2 16 20
124 -10 2 16 28
125 148 2 16 45
126 192 2 16 48
127 -18 2 17 27
128 -6 2 17 37
129 -76 2 18 20
130 -116 2 18 31
131 88 2 19 23
132 66 2 19 37
133 132 2 20 26
134 138 2 20 38
135 -160 2 21 31
136 -102 2 21 33
137 154 2 21 48
138 138 2 22 30
139 -44 2 22 48
140 -56 2 22 50
141 88 2 23 32
142 34 2 23 36
143 -70 2 23 43
144 134 2 23 47
145 -28 2 24 32
146 128 2 24 39
147 -178 2 24 40
148 -14 2 24 42
149 186 2 25 31
150 94 2 25 39
151 -106 2 25 42
152 180 2 25 44
153 -80 2 26 50
154 158 2 27 33
155 68 2 28 47
156 -112 2 29 30
157 180 2 29 37
158 -152 2 29 46
159 132 2 29 50
160 134 2 30 35
161 54 2 31 32
162 176 2 31 41
163 -30 2 34 39
164 118 2 36 44
165 96 2 36 45
166 36 2 38 45
167 144 2 38 48
168 -198 2 39 49
169 66 2 40 45
170 28 2 40 47
171 64 2 44 45
172 -102 2 46 50
173 30 2 47 48
174 138 2 49 50
