50 187 0
0
1 -246 1 1
2 35 1 2
3 235 1 3
4 70 1 4
5 -123 1 5
6 -121 1 6
7 -310 1 7
8 -247 1 8
9 10 1 9
10 -109 1 10
11 -7 1 11
12 -187 1 12
13 39 1 13
14 175 1 14
15 30 1 15
16 70 1 16
17 108 1 17
18 -21 1 18
19 -90 1 19
20 -162 1 20
21 -225 1 21
22 91 1 22
23 -69 1 23
24 7 1 24
25 -70 1 25
26 83 1 26
27 -101 1 27
28 28 1 28
29 -231 1 29
30 253 1 30
31 -100 1 31
32 28 1 32
33 -107 1 33
34 85 1 34
35 -33 1 35
36 -116 1 36
37 115 1 37
38 114 1 38
39 100 1 39
40 63 1 40
41 -218 1 41
42 -121 1 42
43 -52 1 43
44 54 1 44
45 136 1 45
46 49 1 46
47 -11 1 47
48 -71 1 48
49 -231 1 49
50 -143 1 50
51 -16 2 1 11
52 -74 2 1 14
53 186 2 1 29
54 122 2 1 33
55 -4 2 1 35
56 142 2 1 39
57 -40 2 1 47
58 176 2 1 49
59 150 2 2 20
60 -8 2 2 30
61 -124 2 2 32
62 -48 2 2 34
63 -40 2 2 44
64 130 2 3 27
65 -154 2 3 30
66 -108 2 3 41
67 -140 2 3 43
68 -198 2 3 44
69 -192 2 4 12
70 24 2 4 22
71 -128 2 4 30
72 156 2 4 50
73 72 2 5 8
74 174 2 5 46
75 116 2 6 15
76 90 2 6 16
77 -174 2 6 17
78 -102 2 6 24
79 78 2 6 28
80 70 2 6 29
81 172 2 6 31
82 -156 2 6 46
83 148 2 6 50
84 132 2 7 14
85 154 2 7 16
86 94 2 7 17
87 106 2 7 26
88 134 2 7 29
89 12 2 8 11
90 10 2 8 14
91 102 2 8 24
92 152 2 8 31
93 -84 2 8 37
94 122 2 8 41
95 108 2 8 43
96 -166 2 9 16
97 66 2 9 20
98 30 2 9 36
99 50 2 9 48
100 118 2 10 31
101 100 2 10 35
102 -10 2 11 14
103 -112 2 11 26
104 140 2 11 41
105 186 2 12 13
106 124 2 12 19
107 -60 2 12 20
108 86 2 12 25
109 108 2 12 36
110 120 2 12 40
111 2 2 12 47
112 -22 2 13 22
113 -92 2 13 38
114 -144 2 13 42
115 -6 2 13 50
116 -140 2 14 18
117 -148 2 14 30
118 -120 2 14 48
119 26 2 15 17
120 -188 2 15 40
121 -14 2 15 47
122 -144 2 16 47
123 -74 2 16 49
124 -48 2 17 27
125 92 2 17 28
126 88 2 17 36
127 -136 2 17 38
128 -28 2 17 42
129 -130 2 17 45
130 56 2 18 41
131 126 2 18 42
132 188 2 19 27
133 14 2 19 35
134 -56 2 19 36
135 -90 2 19 46
136 126 2 20 26
137 -64 2 20 39
138 106 2 20 42
139 178 2 21 23
140 158 2 21 36
141 114 2 21 48
142 -152 2 22 28
143 168 2 22 32
144 -104 2 22 37
145 -96 2 22 44
146 -40 2 23 40
147 26 2 24 31
148 12 2 24 35
149 -52 2 24 39
150 -144 2 25 39
151 132 2 25 40
152 108 2 25 44
153 -42 2 25 48
154 -120 2 26 36
155 -166 2 26 45
156 102 2 27 29
157 -104 2 27 40
158 -52 2 27 42
159 -14 2 27 50
160 -74 2 28 31
161 32 2 29 37
162 -62 2 29 43
163 -68 2 30 32
164 18 2 31 39
165 -46 2 31 43
166 124 2 31 47
167 -170 2 31 48
168 -120 2 31 50
169 -18 2 32 37
170 -14 2 32 40
171 88 2 33 36
172 -160 2 33 39
173 42 2 33 49
174 122 2 33 50
175 -64 2 34 36
176 -152 2 34 40
177 94 2 34 47
178 -56 2 35 37
179 60 2 39 42
180 120 2 40 48
181 174 2 41 42
182 52 2 41 44
183 66 2 43 44
184 178 2 43 49
185 24 2 45 46
186 -50 2 46 49
187 190 2 48 49
