50 172 0
0
1 158 1 1
2 -39 1 2
3 -96 1 3
4 49 1 4
5 12 1 5
6 61 1 6
7 -186 1 7
8 -286 1 8
9 99 1 9
10 23 1 10
11 -136 1 11
12 -123 1 12
13 -95 1 13
14 -92 1 14
15 12 1 15
16 3 1 16
17 -161 1 17
18 36 1 18
19 128 1 19
20 -134 1 20
21 -29 1 21
22 161 1 22
23 31 1 23
24 87 1 24
25 217 1 25
26 -102 1 26
27 -207 1 27
28 -56 1 28
29 -87 1 29
30 -30 1 30
31 -101 1 31
32 -251 1 32
33 -295 1 33
34 46 1 34
35 -44 1 35
36 -118 1 36
37 -42 1 37
38 107 1 38
39 126 1 39
40 -15 1 40
41 -11 1 41
42 204 1 42
43 -18 1 43
44 130 1 44
45 102 1 45
46 -51 1 46
47 240 1 47
48 -65 1 48
49 -5 1 49
50 -125 1 50
51 -146 2 1 9
52 44 2 1 10
53 -180 2 1 22
54 -34 2 1 32
55 42 2 2 3
56 168 2 2 35
57 -132 2 2 44
58 132 2 3 4
59 -18 2 3 11
60 174 2 3 20
61 18 2 3 29
62 -120 2 3 30
63 -168 2 3 32
64 162 2 3 33
65 -30 2 3 37
66 -32 2 4 26
67 -198 2 4 49
68 -24 2 5 42
69 -122 2 6 35
70 200 2 7 17
71 52 2 7 20
72 120 2 7 28
73 -48 2 8 10
74 96 2 8 16
75 -34 2 8 23
76 188 2 8 25
77 196 2 8 32
78 28 2 8 36
79 146 2 8 46
80 122 2 9 36
81 -140 2 9 38
82 -34 2 9 48
83 -14 2 10 30
84 56 2 10 40
85 -126 2 10 42
86 42 2 10 45
87 80 2 11 30
88 98 2 11 31
89 110 2 11 34
90 -64 2 11 42
91 66 2 11 49
92 190 2 12 14
93 56 2 12 47
94 -18 2 13 18
95 160 2 13 24
96 -100 2 13 36
97 192 2 13 45
98 -68 2 13 46
99 24 2 13 48
100 -6 2 14 18
101 142 2 15 23
102 -72 2 15 24
103 -94 2 15 44
104 -190 2 16 25
105 -32 2 16 27
106 34 2 16 32
107 80 2 16 36
108 6 2 16 49
109 122 2 17 36
110 -48 2 18 25
111 62 2 19 20
112 -140 2 19 24
113 -24 2 19 30
114 -154 2 19 34
115 72 2 20 26
116 198 2 20 42
117 -110 2 20 46
118 -180 2 20 47
119 -48 2 21 22
120 -82 2 21 24
121 62 2 21 48
122 126 2 21 50
123 -178 2 22 25
124 -20 2 22 38
125 104 2 22 39
126 162 2 23 24
127 -166 2 23 31
128 -166 2 23 38
129 -150 2 24 44
130 -52 2 24 46
131 -42 2 25 30
132 -164 2 25 42
133 8 2 26 37
134 -10 2 26 48
135 166 2 26 49
136 138 2 27 30
137 124 2 27 33
138 190 2 27 41
139 -144 2 27 42
140 138 2 27 46
141 86 2 28 31
142 122 2 28 33
143 -46 2 28 34
144 -170 2 28 47
145 -34 2 29 32
146 190 2 29 41
147 160 2 30 32
148 -58 2 30 38
149 -60 2 30 41
150 184 2 31 38
151 88 2 32 33
152 44 2 32 35
153 168 2 32 43
154 48 2 32 46
155 106 2 33 37
156 -12 2 33 41
157 -2 2 34 35
158 6 2 35 40
159 -6 2 35 45
160 -16 2 36 39
161 -138 2 38 41
162 124 2 38 50
163 -148 2 39 41
164 -192 2 39 45
165 -28 2 40 42
166 -4 2 40 48
167 116 2 42 44
168 -172 2 42 45
169 -68 2 43 45
170 -64 2 43 48
171 -186 2 47 49
172 156 2 48 49
