,Arquivo,Número de variáveis,Quantidade de produtos,Algoritmo,Tempo de execução,É ótimo,Melhor Valor,Elementos melhor valor,BitMask melhor valor,Lower bound residual
0,instancias/bqp50-1.txt,50,158,Brute force,60.00006103515625,False,-1330.0,"[49, 44, 43, 42, 41, 39, 38, 34, 33, 32, 31]",0b1000011110110001111000000000000000000000000000000,-342.0
1,instancias/bqp50-1.txt,50,158,B&B FIFO,60.000079870224,False,inf,[],,-4640.0
2,instancias/bqp50-1.txt,50,158,B&B LIFO,60.00009727478027,False,-1711.0,"[49, 44, 43, 42, 41, 39, 38, 33, 32, 31, 25, 24, 23, 20]",0b1000011110110000111000001110010000000000000000000,-1662.0
3,instancias/bqp50-1.txt,50,158,B&B LC,60.000022172927856,False,inf,[],,-4402.0
4,instancias/bqp500-10.txt,500,12908,Brute force,60.00180625915527,False,-2622.0,"[499, 498, 497, 496, 493, 492, 488, 487]",0b1111001100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1288.0
5,instancias/bqp500-10.txt,500,12908,B&B FIFO,60.00134491920471,False,inf,[],,-673465.0
6,instancias/bqp500-10.txt,500,12908,B&B LIFO,60.00193524360657,False,-7370.0,"[499, 498, 497, 496, 493, 488, 487, 486, 485, 484, 481, 479, 477, 476, 475, 474, 473, 470, 469, 468, 467, 466]",0b1111001000011111001010111110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-6832.0
7,instancias/bqp500-10.txt,500,12908,B&B LC,60.00568985939026,False,inf,[],,-672821.0
8,instancias/nl01-46.txt,30,336,Brute force,60.000038385391235,False,-62.0,"[26, 14]",0b10000000000010000000000000,1043.0
9,instancias/nl01-46.txt,30,336,B&B FIFO,60.0001380443573,False,inf,[],,2504.0
10,instancias/nl01-46.txt,30,336,B&B LIFO,1.7038567066192627,True,-62.0,"[26, 14]",0b10000000000010000000000000,-57.0
11,instancias/nl01-46.txt,30,336,B&B LC,1.7313075065612793,True,-62.0,"[26, 14]",0b10000000000010000000000000,-62.0
12,instancias/bqp100-7.txt,100,567,Brute force,60.000051736831665,False,-1356.0,"[98, 96, 93, 92, 89, 87, 86]",0b10100110010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-151.0
13,instancias/bqp100-7.txt,100,567,B&B FIFO,60.00014662742615,False,inf,[],,-22490.0
14,instancias/bqp100-7.txt,100,567,B&B LIFO,60.000147581100464,False,-1925.0,"[98, 96, 93, 92, 89, 87, 86, 81, 77, 76, 74]",0b10100110010110000100011010000000000000000000000000000000000000000000000000000000000000000000000000,-1741.0
15,instancias/bqp100-7.txt,100,567,B&B LC,60.000404596328735,False,inf,[],,-22330.0
16,instancias/bqp500-8.txt,500,12776,Brute force,60.00004720687866,False,-1677.0,"[499, 496, 494, 491, 488, 487]",0b1001010010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-890.0
17,instancias/bqp500-8.txt,500,12776,B&B FIFO,60.005351066589355,False,inf,[],,-652280.0
